ax, ay, az, gx, gy, gz, mx, my, mz, phi, theta, psi
-9.508941,0.547859,-1.603564,-0.002956,0.002556,0.000667,0.838946,-0.714242,0.108514,0,0,0
-9.554949,0.562572,-1.571841,-0.006811,0.007992,0.001039,0.838946,-0.714242,0.108514,0,0,0
-9.569836,0.532168,-1.60225,-0.014859,0.008704,0.001019,0.838946,-0.714242,0.108514,0,0,0
-9.600542,0.554714,-1.601166,-0.013249,0.010909,0.001052,0.828274,-0.719449,0.105136,2.81991334966278,1.39487421540039,-0.111607690008056
-9.646449,0.554203,-1.562066,-0.00646,0.006724,0.002319,0.828274,-0.719449,0.105136,2.81981353436717,1.39483789512933,-0.111697871094333
-9.623159,0.516484,-1.585946,-0.002234,0.006064,0.004255,0.828274,-0.719449,0.105136,2.81969556766267,1.39480159231156,-0.111817234061056
-9.607857,0.501329,-1.563769,0.005687,0.007214,-0.001502,0.828274,-0.719449,0.105136,2.81967931866106,1.39476712208794,-0.111853379799333
-9.62293,0.463078,-1.525968,0.007627,0.007198,-0.001175,0.846925,-0.722601,0.103568,2.81965828746133,1.39473249478483,-0.111912878023278
-9.645454,0.440265,-1.571261,0.012699,0.003943,-0.004735,0.846925,-0.722601,0.103568,2.81968813256633,1.39470833944839,-0.111920016413889
-9.607434,0.448117,-1.556927,0.002734,0.007222,-0.00409,0.846925,-0.722601,0.103568,2.81969904086494,1.39467591125828,-0.111921081063833
-9.58454,0.463637,-1.59524,-0.000522,-0.000697,-0.005798,0.846925,-0.722601,0.103568,2.81968940665561,1.39466358924417,-0.111934764433611
-9.592591,0.516787,-1.601891,-0.007541,-0.003148,-0.002949,0.838904,-0.719666,0.105773,2.81960791730167,1.39465496732494,-0.112059991701667
-9.623638,0.56964,-1.577606,-0.006658,0.003481,-0.006732,0.838904,-0.719666,0.105773,2.8196139386825,1.39463348234,-0.112042171905056
-9.585533,0.600563,-1.63886,-0.003433,0.007581,-0.006355,0.838904,-0.719666,0.105773,2.81964123560894,1.39460197917361,-0.112010965444389
-9.570093,0.585547,-1.654637,-0.002496,0.005657,-0.007663,0.838904,-0.719666,0.105773,2.81967970263317,1.39457607850939,-0.111970735639111
-9.562482,0.600915,-1.684977,0.001814,0.002802,-0.001884,0.841469,-0.72237,0.105873,2.819633887779,1.39455249913111,-0.112082436616889
-9.570434,0.615854,-1.631437,0.003684,0.005303,-0.004747,0.841469,-0.72237,0.105873,2.81964741406928,1.39452511493828,-0.112083274374222
-9.623958,0.653603,-1.682701,0.001415,0.002775,-0.005422,0.841469,-0.72237,0.105873,2.81965301657144,1.39450427572461,-0.112086381057667
-9.58603,0.669025,-1.660669,0.006643,0.005613,-0.001833,0.841469,-0.72237,0.105873,2.81963652322394,1.39447387211472,-0.112125214600722
-9.59351,0.661449,-1.683358,0.005418,0.008822,0.001096,0.844409,-0.72267,0.100786,2.81958728752733,1.39443353758978,-0.112163210386444
-9.577932,0.623584,-1.684274,-0.0027,0.002842,-0.002219,0.844409,-0.72267,0.100786,2.81954032075683,1.39441001057133,-0.112209287039778
-9.570682,0.661579,-1.668749,-0.003336,0.007615,-0.001846,0.844409,-0.72267,0.100786,2.81950797983311,1.39437485966989,-0.112238870345611
-9.608932,0.684146,-1.690246,-0.012671,0.007703,-0.001873,0.844409,-0.72267,0.100786,2.81945307182122,1.39433951678239,-0.112267685707222
-9.578144,0.638696,-1.661288,-0.008646,0.008994,0.005555,0.841469,-0.72237,0.105873,2.81930971059756,1.39429534253633,-0.112450892764056
-9.577867,0.615986,-1.684381,-0.013874,0.015367,0.002065,0.841469,-0.72237,0.105873,2.81923352704006,1.39423870664994,-0.112498260959944
-9.601056,0.638483,-1.653124,-0.010661,0.016286,0.001767,0.841469,-0.72237,0.105873,2.81917345285794,1.39418013344972,-0.112537426115278
-9.600734,0.600494,-1.653659,-0.014132,0.012534,0.004931,0.841469,-0.72237,0.105873,2.81904606138344,1.39412794814917,-0.112636159307667
-9.615991,0.577383,-1.600463,-0.010974,0.011847,0.002037,0.844402,-0.714473,0.10621,2.81895670060122,1.39407974219594,-0.112722675205611
-9.585701,0.577409,-1.5405,-0.007964,0.010273,0.00718,0.844402,-0.714473,0.10621,2.81880496180422,1.39403113481733,-0.112861812736056
-9.601114,0.592453,-1.532313,-0.006081,0.01373,0.004972,0.844402,-0.714473,0.10621,2.81870265068989,1.39397606972594,-0.112955519384444
-9.616472,0.584564,-1.486494,-0.006199,0.012101,-0.000518,0.844402,-0.714473,0.10621,2.81866568464756,1.39392922512839,-0.112982519605167
-9.608652,0.538846,-1.434191,0.002606,0.011741,0.004657,0.84166,-0.725266,0.100568,2.81857545120144,1.39387915167444,-0.113066382604889
-9.631573,0.546285,-1.441102,0.010212,0.010353,-0.000804,0.84166,-0.725266,0.100568,2.81857560828094,1.39383668784961,-0.113097379626222
-9.600923,0.523685,-1.427005,0.012507,0.006537,0.001091,0.84166,-0.725266,0.100568,2.81853944508939,1.3938017463875,-0.113171084818278
-9.585603,0.516211,-1.427494,0.014746,0.005876,0.000446,0.84166,-0.725266,0.100568,2.818514539262,1.39376889931872,-0.113239065335222
-9.585861,0.546602,-1.427066,0.017272,0.003294,-0.001826,0.841052,-0.730198,0.108318,2.81850870986722,1.39374416802411,-0.113408082877222
-9.601421,0.56916,-1.396,0.01931,0.005852,0.00304,0.841052,-0.730198,0.108318,2.81846074825989,1.39370931382839,-0.113511057216111
-9.555349,0.546849,-1.42783,0.016873,0.002001,-0.005385,0.841052,-0.730198,0.108318,2.81850123986433,1.39369027230233,-0.113518003620667
-9.571075,0.592229,-1.404034,0.008022,0.003097,0.002005,0.841052,-0.730198,0.108318,2.818426574742,1.39366278338983,-0.113619424617833
-9.563621,0.622765,-1.426569,0.004494,-0.000992,0.002593,0.84137,-0.716823,0.111237,2.81831138310867,1.39364468434078,-0.113850244216444
-9.532952,0.607845,-1.435137,0.001366,-0.004738,0.006724,0.84137,-0.716823,0.111237,2.81812290516194,1.39363201326111,-0.114050398406
-9.532684,0.592788,-1.473305,-0.004492,0.000058,0.003859,0.84137,-0.716823,0.111237,2.81797903779322,1.39361023157044,-0.114190373693778
-9.555264,0.56992,-1.503417,-0.012085,-0.001411,0.009934,0.84137,-0.716823,0.111237,2.81772928138822,1.39358708852411,-0.114418610207278
-9.570208,0.516473,-1.46583,-0.009229,0.00204,0.008048,0.836296,-0.722385,0.102931,2.81752176191544,1.39355736559206,-0.114611660912778
-9.608402,0.539096,-1.502508,-0.007662,0.003594,0.006142,0.836296,-0.722385,0.102931,2.817355606711,1.39352537373389,-0.1147662096875
-9.600286,0.478348,-1.495964,-0.008642,0.004234,0.005498,0.836296,-0.722385,0.102931,2.81719842249133,1.39349236958561,-0.1149091520325
-9.546688,0.448335,-1.482547,-0.00776,0.001659,0.001606,0.836296,-0.722385,0.102931,2.81708352756372,1.39346856331472,-0.115011393333722
-9.599974,0.425025,-1.458759,-0.00608,0.000713,0.004822,0.838812,-0.722316,0.105713,2.81692063612222,1.39344458251106,-0.115203885534333
-9.607445,0.409795,-1.466373,-0.005086,-0.000875,0.006096,0.838812,-0.722316,0.105713,2.81674186219794,1.39342320224578,-0.115377824900667
-9.622369,0.387017,-1.504266,-0.006081,-0.001513,0.004797,0.838812,-0.722316,0.105713,2.81657493904928,1.39340437015906,-0.115537173326778
-9.61464,0.371856,-1.49708,-0.004941,-0.003799,-0.001986,0.838812,-0.722316,0.105713,2.81649037791844,1.39339635910456,-0.115615765436611
-9.607141,0.387113,-1.497057,-0.009181,0.004161,-0.004488,0.838861,-0.725089,0.103031,2.81645850823322,1.39337159290339,-0.115635697079833
-9.630227,0.417374,-1.511238,-0.012836,0.000027,-0.009694,0.838861,-0.725089,0.103031,2.81647308172017,1.39336068460478,-0.115593495054167
