ax, ay, az, gx, gy, gz, mx, my, mz, phi, theta, psi
0.078027,1.317835,9.582612,0.300465,-0.252782,-0.041205,0.587092,-0.507289,-0.766482,0.126038849,-0.012600759,2.08610666
0.144939,1.294431,9.553216,0.3126,-0.261841,-0.03235,0.587092,-0.507289,-0.766482,0.127599523,-0.013864727,2.085805259
0.187477,1.305671,9.57119,0.326238,-0.263992,-0.031489,0.584706,-0.512829,-0.77452,0.129208421,-0.015121452,2.085525308
0.17609,1.308793,9.582879,0.338455,-0.266357,-0.026198,0.584706,-0.512829,-0.77452,0.130898773,-0.016410814,2.085247399
0.153515,1.342125,9.615004,0.344187,-0.262367,-0.024519,0.585355,-0.510699,-0.784815,0.13259848,-0.0176637,2.084976611
0.194846,1.324362,9.596228,0.347679,-0.260329,-0.019463,0.585355,-0.510699,-0.784815,0.134335048,-0.01892669,2.084731671
0.191259,1.350902,9.623226,0.34996,-0.251252,-0.021029,0.586359,-0.520122,-0.761598,0.136063134,-0.020125348,2.084504971
0.19871,1.360907,9.634534,0.354422,-0.249141,-0.021572,0.586359,-0.520122,-0.761598,0.137834156,-0.021330638,2.084252823
0.210018,1.341172,9.64158,0.353856,-0.23836,-0.023841,0.586129,-0.522616,-0.759068,0.139582767,-0.022462833,2.084010798
0.206741,1.337773,9.681134,0.34394,-0.231441,-0.02396,0.586129,-0.522616,-0.759068,0.141302056,-0.023577942,2.083755002
0.233485,1.297354,9.698184,0.332782,-0.222869,-0.017595,0.584113,-0.525784,-0.772224,0.142945145,-0.024637183,2.08354558
0.286752,1.262315,9.725278,0.314449,-0.212318,-0.022855,0.584113,-0.525784,-0.772224,0.144517129,-0.02565759,2.083305283
0.319165,1.285833,9.798408,0.307423,-0.183491,-0.03947,0.576519,-0.517778,-0.772521,0.146036561,-0.026505978,2.082997075
0.298478,1.315874,9.881411,0.282736,-0.170734,-0.046753,0.576519,-0.517778,-0.772521,0.147452826,-0.027302494,2.082665864
0.274697,1.378519,9.928527,0.248877,-0.163377,-0.057184,0.577544,-0.521364,-0.793284,0.148682149,-0.028037609,2.082280705
0.323705,1.361364,9.916549,0.213767,-0.16221,-0.061125,0.577544,-0.521364,-0.793284,0.149755964,-0.028780457,2.081882752
0.355161,1.355022,9.942283,0.191965,-0.16992,-0.067659,0.580563,-0.527618,-0.756911,0.150702177,-0.029538681,2.08146375
0.332883,1.393263,9.93735,0.177509,-0.176874,-0.069263,0.580563,-0.527618,-0.756911,0.151596885,-0.030347117,2.081013071
0.341379,1.430506,9.882259,0.166342,-0.186175,-0.075103,0.570681,-0.530626,-0.770539,0.152416964,-0.031179099,2.080551641
0.320581,1.496887,9.858685,0.15298,-0.200671,-0.073787,0.570681,-0.530626,-0.770539,0.153191122,-0.032100947,2.080059109
0.328046,1.467137,9.793637,0.137247,-0.204386,-0.069118,0.584301,-0.528642,-0.777459,0.153867315,-0.033027735,2.07957827
0.38487,1.455073,9.773866,0.121369,-0.212799,-0.060801,0.584301,-0.528642,-0.777459,0.154482544,-0.034018803,2.079139337
0.397661,1.428593,9.688948,0.107496,-0.216521,-0.050325,0.565437,-0.53052,-0.770853,0.155006911,-0.03501858,2.078774843
0.379925,1.353914,9.66186,0.100914,-0.207322,-0.046581,0.565437,-0.53052,-0.770853,0.155518136,-0.035993103,2.078409318
0.410593,1.333477,9.619841,0.090138,-0.204257,-0.041886,0.575884,-0.536085,-0.77293,0.155955027,-0.036938845,2.078084146
0.331762,1.359061,9.641237,0.077414,-0.20471,-0.054133,0.575884,-0.536085,-0.77293,0.156350798,-0.037894256,2.077682441
0.339613,1.350399,9.592422,0.055146,-0.206826,-0.064085,0.557801,-0.527866,-0.773854,0.156617641,-0.038835146,2.077245654
0.311993,1.369412,9.586643,0.031739,-0.208759,-0.076224,0.557801,-0.527866,-0.773854,0.15679022,-0.039793105,2.076731061
0.259492,1.388489,9.545799,0.015903,-0.212362,-0.073191,0.565116,-0.535629,-0.768382,0.156863541,-0.040753944,2.076250328
0.295656,1.372267,9.48773,0.010085,-0.214465,-0.077291,0.565116,-0.535629,-0.768382,0.156929253,-0.041739148,2.075725786
0.287596,1.395828,9.456375,0.009251,-0.20382,-0.088835,0.57096,-0.530869,-0.775715,0.156974108,-0.042646214,2.075149496
