ax, ay, az, gx, gy, gz, mx, my, mz, phi, theta, psi
-4.963225,2.050085,9.182529,-0.283555,0.35449,-0.217182,1.033446,0.021203,-0.461581,0.223947743,0.468907339,1.479677562
-4.939458,2.161079,9.150695,-0.394175,0.367712,-0.275796,1.033446,0.021203,-0.461581,0.221500022,0.471005121,1.478624604
-4.911361,2.260823,9.14472,-0.513698,0.360174,-0.320931,1.03523,0.013823,-0.451293,0.218322422,0.473115155,1.477630883
-4.876638,2.262844,9.141781,-0.569933,0.320809,-0.305463,1.03523,0.013823,-0.451293,0.214884297,0.475009973,1.476341835
-4.999484,2.112614,9.098668,-0.559326,0.24181,-0.250342,1.036556,0.031442,-0.463768,0.211575116,0.476466171,1.474902915
-5.03621,2.023098,9.001899,-0.492225,0.148157,-0.196513,1.036556,0.031442,-0.463768,0.208697294,0.477395629,1.473995186
-5.021377,1.99829,8.794722,-0.410862,0.04859,-0.163082,1.025324,0.037705,-0.446243,0.206244058,0.477808103,1.473096306
-4.871293,1.967731,8.542002,-0.324128,-0.031531,-0.143246,1.025324,0.037705,-0.446243,0.204243683,0.477799743,1.472270504
-4.667514,1.944932,8.363569,-0.252407,-0.073905,-0.154556,1.027983,0.034928,-0.448721,0.202540782,0.477599222,1.471437562
-4.589188,1.87985,8.38238,-0.181897,-0.08431,-0.180227,1.027983,0.034928,-0.448721,0.201130765,0.477366901,1.470348389
-4.230031,1.749868,8.604418,-0.128883,-0.099248,-0.201066,1.034134,0.02865,-0.469135,0.199915701,0.477085851,1.469243229
-4.627869,1.941876,8.569841,-0.074353,-0.156434,-0.24078,1.034134,0.02865,-0.469135,0.198854313,0.476557662,1.467740657
-4.907246,1.943113,8.876513,-0.000879,-0.171821,-0.248957,1.037244,0.038889,-0.471322,0.198121414,0.475968874,1.466015607
-4.983119,1.959361,9.152078,0.091723,-0.159123,-0.207581,1.037244,0.038889,-0.471322,0.19797519,0.475393038,1.464694811
-4.950017,1.992475,9.120602,0.164097,-0.132944,-0.144565,1.030864,0.042685,-0.44839,0.198353648,0.474889789,1.463772527
-4.825902,1.929665,9.039482,0.191536,-0.105115,-0.072685,1.030864,0.042685,-0.44839,0.19907494,0.474446336,1.463255316
-4.628087,1.773059,8.954329,0.164939,-0.096048,-0.031881,1.03142,0.042202,-0.458695,0.199760122,0.474014087,1.462919601
-4.583954,1.641862,8.699863,0.093525,-0.105581,-0.031562,1.03142,0.042202,-0.458695,0.200094684,0.473528065,1.462627974
-4.567854,1.522858,8.497011,0.00679,-0.107027,-0.047329,1.02849,0.037169,-0.456392,0.199945965,0.473055762,1.462368566
-4.533966,1.347733,8.380149,-0.063913,-0.113526,-0.080807,1.02849,0.037169,-0.456392,0.199366253,0.472579566,1.461797302
-4.547009,1.284941,8.35327,-0.110025,-0.119767,-0.111261,1.029032,0.052789,-0.456043,0.198464284,0.472112358,1.460729509
-4.560308,1.260859,8.320786,-0.128572,-0.126402,-0.138082,1.029032,0.052789,-0.456043,0.197412548,0.471628483,1.459830001
-4.532688,1.26706,8.286847,-0.133223,-0.13632,-0.153596,1.028441,0.039893,-0.453757,0.196285641,0.47111382,1.459144976
-4.53268,1.367704,8.22368,-0.131596,-0.132646,-0.15258,1.028441,0.039893,-0.453757,0.195181057,0.470611654,1.458160505
-4.477788,1.446731,8.390844,-0.104203,-0.114636,-0.134869,1.035092,0.043907,-0.476515,0.194255299,0.470187888,1.457181393
-4.468372,1.470203,8.372255,-0.059738,-0.093501,-0.101621,1.035092,0.043907,-0.476515,0.193657576,0.469827093,1.456521099
-4.445985,1.540455,8.427622,-0.023934,-0.066525,-0.066983,1.03362,0.03446,-0.456137,0.193329785,0.469568278,1.456452141
-4.406703,1.506184,8.53364,0.000453,-0.045565,-0.04089,1.03362,0.03446,-0.456137,0.193208066,0.469383989,1.45617809
-4.508797,1.475505,8.631735,0.027762,-0.018242,-0.016605,1.024089,0.052654,-0.461508,0.193282033,0.469322326,1.455585829
