ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.75084835,0.32573175,0.34582424,0.0044667274,0.3559816,-0.39503628,0.89470327,0.13692604,0.47433853,0.3630022,0.75063676,-0.6440146
-0.7477887,0.337609,0.33952737,-0.019069254,0.36245757,-0.41370302,0.89470327,0.13692604,0.47433853,0.36092615,0.7530763,-0.64552855
-0.7441718,0.3482824,0.33834553,-0.04449948,0.35876554,-0.42807713,0.8971914,0.12868357,0.4954667,0.35823107,0.7555302,-0.6469574
-0.7397018,0.3484987,0.33776414,-0.056464277,0.339485,-0.42315105,0.8971914,0.12868357,0.4954667,0.35531503,0.75773376,-0.6488106
-0.75551605,0.33242285,0.3292365,-0.05420749,0.30079207,-0.40559673,0.8990406,0.14836162,0.46984708,0.35250834,0.7594272,-0.6508796
-0.7602439,0.32284394,0.31009543,-0.03993079,0.2549218,-0.38845384,0.8990406,0.14836162,0.46984708,0.3500675,0.76050806,-0.6521847
-0.7583344,0.3201893,0.2691157,-0.02261965,0.20615488,-0.3778071,0.88337636,0.15535656,0.5058378,0.34798676,0.7609878,-0.6534772
-0.73901373,0.3169192,0.21912754,-0.0041657537,0.16691244,-0.37148994,0.88337636,0.15535656,0.5058378,0.34629017,0.76097804,-0.6546645
-0.71278083,0.31447953,0.1838336,0.011093907,0.14615808,-0.37509182,0.8870845,0.15225501,0.5007488,0.34484583,0.76074487,-0.6558621
-0.70269775,0.30751526,0.18755424,0.02609592,0.14106183,-0.38326725,0.8870845,0.15225501,0.5007488,0.34364992,0.7604747,-0.65742826
-0.65646267,0.29360616,0.23147357,0.037375405,0.13374534,-0.38990384,0.8956629,0.14524333,0.45882505,0.34261936,0.76014787,-0.6590171
-0.70767725,0.31415254,0.22463429,0.048977442,0.105736226,-0.4025515,0.8956629,0.14524333,0.45882505,0.34171915,0.7595336,-0.66117764
-0.74364203,0.31428492,0.28529394,0.06461009,0.09819983,-0.40515563,0.9000001,0.15667892,0.45433366,0.34109753,0.75884885,-0.6636579
-0.7534093,0.31602356,0.33980083,0.08431248,0.10441918,-0.39197865,0.9000001,0.15667892,0.45433366,0.34097353,0.7581792,-0.6655569
-0.7491481,0.31956702,0.3335749,0.09971108,0.11724138,-0.37191,0.89110243,0.16091853,0.50142854,0.34129453,0.7575939,-0.666883
-0.73317045,0.31284586,0.31752944,0.10554912,0.13087174,-0.34901845,0.89110243,0.16091853,0.50142854,0.34190628,0.75707823,-0.6676266
-0.7077053,0.29608777,0.300686,0.09989023,0.13531268,-0.33602363,0.8918779,0.1603791,0.48026544,0.34248742,0.7565756,-0.6681094
-0.7020239,0.28204864,0.25035274,0.08469588,0.1306435,-0.33592203,0.8918779,0.1603791,0.48026544,0.34277117,0.75601035,-0.66852856
-0.69995135,0.26931426,0.21022844,0.06624177,0.12993526,-0.34094334,0.88779163,0.15475792,0.48499507,0.34264505,0.7554611,-0.6689017
