ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.6587646,0.23884048,0.36718655,-0.106175184,-0.2561581,-0.39503628,0.89470327,0.13669673,0.21308118,0.28567463,0.61554015,-0.67747676
-0.6558757,0.2497301,0.36113238,-0.12683204,-0.2528384,-0.41370302,0.89470327,0.13669673,0.21308118,0.28377646,0.61778,-0.67879283
-0.6524605,0.259516,0.35999608,-0.14915144,-0.254731,-0.42807713,0.8971914,0.12946765,0.23007232,0.2813123,0.620033,-0.68003476
-0.6482398,0.25971428,0.3594371,-0.15965259,-0.26461464,-0.42315105,0.8971914,0.12946765,0.23007232,0.27864605,0.62205625,-0.6816459
-0.66317195,0.24497518,0.35123813,-0.15767187,-0.2844494,-0.40559673,0.8990406,0.14672634,0.2094692,0.27607986,0.62361115,-0.6834444
-0.66763604,0.23619276,0.33283496,-0.14514163,-0.30796346,-0.38845384,0.8990406,0.14672634,0.2094692,0.27384815,0.62460357,-0.6845789
-0.66583306,0.23375885,0.29343486,-0.12994814,-0.33296236,-0.3778071,0.88337636,0.15286127,0.23841262,0.27194571,0.625044,-0.68570244
-0.64759016,0.23076071,0.24537373,-0.113751665,-0.35307884,-0.37148994,0.88337636,0.15286127,0.23841262,0.27039444,0.62503505,-0.68673456
-0.62282044,0.2285239,0.2114402,-0.100358695,-0.36371794,-0.37509182,0.8870845,0.15014106,0.2343201,0.26907387,0.62482095,-0.6877756
-0.61329985,0.2221387,0.21501744,-0.08719185,-0.3663304,-0.38326725,0.8870845,0.15014106,0.2343201,0.26798043,0.6245729,-0.68913686
-0.56964374,0.20938616,0.25724375,-0.077292174,-0.37008098,-0.38990384,0.8956629,0.14399144,0.20060539,0.26703817,0.6242728,-0.69051814
-0.6180016,0.22822408,0.25066817,-0.06710939,-0.38443902,-0.4025515,0.8956629,0.14399144,0.20060539,0.2662151,0.62370884,-0.69239616
-0.6519603,0.22834544,0.30898952,-0.053389065,-0.38830233,-0.40515563,0.9000001,0.15402105,0.19699341,0.26564673,0.62308013,-0.6945523
-0.66118276,0.22993952,0.36139536,-0.036096826,-0.38511416,-0.39197865,0.9000001,0.15402105,0.19699341,0.26553333,0.62246525,-0.696203
-0.65715915,0.23318835,0.35540938,-0.02258191,-0.37854123,-0.37191,0.89110243,0.15773942,0.23486674,0.26582682,0.6219279,-0.69735575
-0.6420728,0.22702605,0.3399824,-0.01745803,-0.37155402,-0.34901845,0.89110243,0.15773942,0.23486674,0.26638615,0.6214544,-0.6980022
-0.6180281,0.21166143,0.3237883,-0.022424677,-0.36927754,-0.33602363,0.8918779,0.15726629,0.21784753,0.26691753,0.6209929,-0.69842184
-0.6126636,0.19878969,0.27539515,-0.03576033,-0.37167102,-0.33592203,0.8918779,0.15726629,0.21784753,0.267177,0.6204739,-0.69878626
-0.6107066,0.1871142,0.2368176,-0.051956974,-0.3720341,-0.34094334,0.88779163,0.15233622,0.22165108,0.26706165,0.6199696,-0.6991105
-0.6065875,0.16993266,0.21459317,-0.06515986,-0.37366584,-0.35160506,0.88779163,0.15233622,0.22165108,0.26661208,0.6194612,-0.69982445
-0.6081729,0.16377214,0.20948136,-0.07377068,-0.37523282,-0.36130372,0.88854754,0.16763678,0.22222745,0.26591262,0.6189623,-0.70115924
-0.60978943,0.16140945,0.20330393,-0.0772341,-0.3768987,-0.36984536,0.88854754,0.16763678,0.22222745,0.26509702,0.61844563,-0.7022834
