# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
1287797877694,10345,98,0,0,0,0,0,0,0,-0,0,-0.0301907,-0.0256847,2.7357,-0.274828,0.31371,-9.73423,0.00191747,-0.00174475,-0.000100927,-0.185499,-0.0908492,0.334665,1011.34,14
1287807560694,9659,111,0,0,0,0,0,0,0,-0,0,-0.0301985,-0.0256999,2.73571,-0.274828,0.31371,-9.73423,0.00191747,-0.00174475,-0.000100927,-0.185499,-0.0908492,0.334665,1011.34,14
1287817634156,10069,125,-2.11488,5.27698,-1.24846,0,0,0,0.0489293,0.504848,-0.0126623,-0.0302027,-0.0256996,2.73572,-0.253552,0.303818,-9.76395,-0.000493254,-0.0019654,0.00104335,-0.182193,-0.0936755,0.337733,1011.41,14
1287827550079,9919,121,-2.11548,5.27603,-1.24869,-0.0310669,-0.0487549,-0.0121521,0.039197,0.518159,-0.0385361,-0.03021,-0.0257014,2.73572,-0.255344,0.299061,-9.75974,0.000380373,-0.000907353,0.00176714,-0.18517,-0.0966116,0.334927,1011.41,14
1287837567540,10003,137,-2.11556,5.27584,-1.249,-0.00354585,-0.00881231,-0.0151251,0.0375776,0.516086,-0.041087,-0.0302151,-0.0257028,2.73571,-0.255344,0.299061,-9.75974,0.000380373,-0.000907353,0.00176714,-0.18517,-0.0966116,0.334927,1011.41,14
1287848025925,10471,125,-2.11556,5.27584,-1.249,-0.00354585,-0.00881231,-0.0151251,0.0375776,0.516086,-0.041087,-0.03022,-0.0256931,2.73572,-0.226086,0.301881,-9.75133,0.00062908,-0.00141903,-0.00027057,-0.184113,-0.0938157,0.335395,1011.41,14
1287857841002,9805,133,-2.11613,5.27518,-1.24788,-0.0294312,-0.0342041,0.0574036,0.0593615,0.476916,-0.0556619,-0.0302221,-0.0256899,2.73572,-0.226086,0.301881,-9.75133,0.00062908,-0.00141903,-0.00027057,-0.184113,-0.0938157,0.335395,1011.41,14
1287867651386,9822,123,-2.11613,5.27518,-1.24788,-0.0294312,-0.0342041,0.0574036,0.0593615,0.476916,-0.0556619,-0.0302236,-0.0256868,2.7357,-0.261486,0.271829,-9.73792,-0.000614768,-0.00142242,0.000731602,-0.18279,-0.0917463,0.336648,1011.36,14
1287877551848,9891,130,-2.11619,5.27509,-1.24799,-0.00295294,-0.00434803,-0.00528971,0.0599099,0.47841,-0.0582949,-0.0302262,-0.0256901,2.7357,-0.261486,0.271829,-9.73792,-0.000614768,-0.00142242,0.000731602,-0.18279,-0.0917463,0.336648,1011.36,14
1287887581694,10019,134,-2.11619,5.27509,-1.24799,-0.00295294,-0.00434803,-0.00528971,0.0599099,0.47841,-0.0582949,-0.030227,-0.0256979,2.7357,-0.252031,0.278891,-9.76005,0.000221588,-0.00196018,0.000384885,-0.181815,-0.0932702,0.337083,1011.32,14
1287897560309,9983,135,-2.11619,5.27504,-1.24798,4.88281e-05,-0.00266113,0.000280762,0.0599168,0.478115,-0.0584037,-0.0302267,-0.0256986,2.7357,-0.265096,0.293837,-9.70648,0.000484844,-0.00101151,0.00176276,-0.184225,-0.0915679,0.334456,1011.32,14
1287907927079,10379,126,-2.11619,5.27504,-1.24798,4.88281e-05,-0.00266113,0.000280762,0.0599168,0.478115,-0.0584037,-0.0302211,-0.0257039,2.73571,-0.258004,0.289404,-9.7523,-0.000111163,-0.00301909,-0.000252543,-0.182301,-0.0933291,0.334537,1011.37,14
1287917705925,9793,113,-2.11619,5.27504,-1.24798,4.88281e-05,-0.00266113,0.000280762,0.0599168,0.478115,-0.0584037,-0.0302234,-0.0257129,2.73568,-0.245265,0.302147,-9.75796,0.000359106,-0.00161928,-0.00196437,-0.18259,-0.0930362,0.337831,1011.37,14
1287927658848,9932,132,-2.11512,5.27705,-1.24743,0.0525019,0.0980515,0.0270705,0.0487594,0.490687,-0.0181547,-0.0302227,-0.0257144,2.73567,-0.245153,0.286145,-9.76792,-9.2108e-05,-0.00163995,0.000280773,-0.18379,-0.0930164,0.33547,1011.37,14
1287937555925,9895,132,-2.1152,5.27661,-1.24855,-0.00457764,-0.0223633,-0.0574768,0.045769,0.506107,-0.02579,-0.0302223,-0.025715,2.73566,-0.245153,0.286145,-9.76792,-9.2108e-05,-0.00163995,0.000280773,-0.18379,-0.0930164,0.33547,1011.37,14
1287947549848,10004,123,-2.1152,5.27661,-1.24855,-0.00457764,-0.0223633,-0.0574768,0.045769,0.506107,-0.02579,-0.0302262,-0.0257126,2.73566,-0.233669,0.291034,-9.77004,0.000477667,-0.00101202,0.00155002,-0.183024,-0.0939684,0.334476,1011.37,14
