# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
353242036363,10078,134,-1.41556,1.33222,-0.191923,0.00289991,0.00210199,-0.000507634,-0.0106578,0.011499,0.00152643,0.0130326,-0.0215297,2.4627,-0.210161,-0.131097,-9.85195,0.00147438,-0.0085256,-0.00365692,-0.190878,-0.148314,0.502634,1010.05,19
353251955594,9900,144,-1.41556,1.33222,-0.191923,0.00289991,0.00210199,-0.000507634,-0.0106578,0.011499,0.00152643,0.013036,-0.0215299,2.46271,-0.210161,-0.131097,-9.85195,0.00147438,-0.0085256,-0.00365692,-0.190878,-0.148314,0.502634,1010.05,19
353261923594,9997,124,-1.41552,1.33228,-0.191938,0.00210199,0.00315001,-0.000766661,-0.00854837,0.0107493,0.00304055,0.0130326,-0.0215288,2.46271,-0.207739,-0.129555,-9.83658,0.00228495,-0.00851974,-0.00485535,-0.191455,-0.15015,0.502158,1010.05,19
353271963901,10016,136,-1.41552,1.33228,-0.191938,0.00210199,0.00315001,-0.000766661,-0.00854837,0.0107493,0.00304055,0.0130331,-0.0215275,2.46272,-0.228181,-0.142381,-9.81897,0.00243084,-0.00756784,-0.00368129,-0.193085,-0.147742,0.501273,1010.05,19
353282097824,10151,133,-1.41553,1.33228,-0.191948,-0.000387052,4.16825e-05,-0.000505401,-0.00866782,0.0106952,0.00380651,0.013039,-0.0215208,2.46273,-0.22909,-0.168962,-9.84538,0.00208681,-0.00765959,-0.00462924,-0.192016,-0.146949,0.502124,1010.08,19
353291946363,9836,142,-1.41553,1.33228,-0.191948,-0.000387052,4.16825e-05,-0.000505401,-0.00866782,0.0106952,0.00380651,0.0130428,-0.0215161,2.46274,-0.199793,-0.1487,-9.80836,0.00086607,-0.00832067,-0.00267516,-0.189756,-0.147674,0.502682,1010.08,19
353301932440,10003,129,-1.41553,1.33229,-0.191932,-0.00025605,0.000631193,0.000793457,-0.00877743,0.0109017,0.0035074,0.0130473,-0.0215071,2.46276,-0.198074,-0.128999,-9.81943,0.000995765,-0.00832592,-0.00204237,-0.191851,-0.14831,0.502267,1010.03,19
353311970132,10003,150,-1.41553,1.33229,-0.191932,-0.00025605,0.000631193,0.000793457,-0.00877743,0.0109017,0.0035074,0.013045,-0.0215065,2.46277,-0.198074,-0.128999,-9.81943,0.000995765,-0.00832592,-0.00204237,-0.191851,-0.14831,0.502267,1010.03,19
353321967132,10001,145,-1.41553,1.33229,-0.191932,-0.00025605,0.000631193,0.000793457,-0.00877743,0.0109017,0.0035074,0.0130408,-0.0215086,2.46281,-0.222639,-0.124422,-9.81849,0.00193963,-0.00832242,-0.00249933,-0.190385,-0.146797,0.50303,1010.03,19
353332286055,10361,119,-1.41555,1.33225,-0.191938,-0.000827696,-0.00202458,-0.000257539,-0.00995959,0.010429,0.00324455,0.01304,-0.0215111,2.46285,-0.199915,-0.121571,-9.7894,0.00225392,-0.00832154,-0.00261667,-0.191433,-0.147575,0.500418,1010.08,19
353341992286,9654,148,-1.41555,1.33225,-0.191938,-0.000827696,-0.00202458,-0.000257539,-0.00995959,0.010429,0.00324455,0.013041,-0.0215112,2.46285,-0.198626,-0.150018,-9.79371,0.00243422,-0.00831364,-0.00358107,-0.191201,-0.148153,0.502566,1010.08,19
353351925747,9975,127,-1.4155,1.33227,-0.191948,0.0026915,0.000726467,-0.000535174,-0.00869308,0.0104488,0.00329718,0.0130487,-0.0215009,2.46285,-0.220443,-0.126148,-9.83979,0.001492,-0.00756874,-0.00290272,-0.188614,-0.14974,0.500945,1010.08,19
353361982055,10043,142,-1.41553,1.33226,-0.191947,-0.00151844,-0.000535918,5.28475e-05,-0.00929031,0.0108758,0.00174741,0.0130478,-0.021499,2.46286,-0.220443,-0.126148,-9.83979,0.001492,-0.00756874,-0.00290272,-0.188614,-0.14974,0.500945,1010.08,19
353371973286,9968,152,-1.41553,1.33226,-0.191947,-0.00151844,-0.000535918,5.28475e-05,-0.00929031,0.0108758,0.00174741,0.0130478,-0.021499,2.46286,-0.220443,-0.126148,-9.83979,0.001492,-0.00756874,-0.00290272,-0.188614,-0.14974,0.500945,1010.08,19
353381993209,10013,158,-1.4155,1.33229,-0.191936,0.00145889,0.00173876,0.000553038,-0.00821568,0.0109159,0.00323129,0.0130324,-0.0214955,2.46288,-0.220443,-0.126148,-9.83979,0.001492,-0.00756874,-0.00290272,-0.188614,-0.14974,0.500945,1010.08,19
353392240671,10282,136,-1.4155,1.33229,-0.191936,0.00145889,0.00173876,0.000553038,-0.00821568,0.0109159,0.00323129,0.0130324,-0.0214934,2.46289,-0.202114,-0.122893,-9.79813,0.00190133,-0.00831277,-0.00366957,-0.187909,-0.149036,0.502848,1010.03,19
353402219363,9993,124,-1.41551,1.33226,-0.191976,-0.000738377,-0.00162562,-0.00200002,-0.00908984,0.0104974,0.00192898,0.0130323,-0.0214902,2.46288,-0.225869,-0.13703,-9.80003,0.00139213,-0.00831891,-0.00290704,-0.189813,-0.15232,0.503366,1010.03,19
353412487670,10254,135,-1.41551,1.33226,-0.191976,-0.000738377,-0.00162562,-0.00200002,-0.00908984,0.0104974,0.00192898,0.0130323,-0.0214902,2.46288,-0.220267,-0.140083,-9.81708,0.00243092,-0.00724858,-0.00367866,-0.191482,-0.150783,0.501353,1010.04,19
353422599901,10118,130,-1.41555,1.33228,-0.191919,-0.00207222,0.00132193,0.00284558,-0.0102398,0.011296,0.000715,0.013033,-0.02148,2.46289,-0.206858,-0.136105,-9.81919,0.0044696,-0.00799781,-0.00321506,-0.19215,-0.150636,0.502898,1010.04,19
353431982132,9342,153,-1.41555,1.33228,-0.191919,-0.00207222,0.00132193,0.00284558,-0.0102398,0.011296,0.000715,0.0130509,-0.021466,2.46291,-0.206858,-0.136105,-9.81919,0.0044696,-0.00799781,-0.00321506,-0.19215,-0.150636,0.502898,1010.04,19
353441999132,10014,154,-1.41549,1.33224,-0.19195,0.00322742,-0.00194717,-0.00154672,-0.00885124,0.0104349,0.00221631,0.0130509,-0.021466,2.46291,-0.206858,-0.136105,-9.81919,0.0044696,-0.00799781,-0.00321506,-0.19215,-0.150636,0.502898,1010.04,19
353452086594,10131,131,-1.41549,1.33224,-0.19195,0.00322742,-0.00194717,-0.00154672,-0.00885124,0.0104349,0.00221631,0.013048,-0.0214605,2.46292,-0.206442,-0.126111,-9.7898,0.00243036,-0.00927187,-0.00369533,-0.189431,-0.149996,0.502812,1010.01,19
353461928594,9846,125,-1.41546,1.33221,-0.191948,0.00132446,-0.00178833,0.000132751,-0.00865009,0.0104054,0.00457768,0.013048,-0.0214605,2.46292,-0.229434,-0.121471,-9.77087,0.0016898,-0.00884547,-0.00356034,-0.188957,-0.147914,0.502653,1010.01,19
353471913055,9995,117,-1.41546,1.33221,-0.191948,0.00132446,-0.00178833,0.000132751,-0.00865009,0.0104054,0.00457768,0.0130501,-0.0214675,2.46293,-0.226958,-0.138863,-9.78081,0.00274354,-0.00831192,-0.0038008,-0.19174,-0.151998,0.503193,1010.01,19
353481926440,10003,126,-1.41547,1.33224,-0.191951,-0.000398962,0.00172685,-0.000190549,-0.00809092,0.0105477,0.00289314,0.0130544,-0.0214708,2.46293,-0.223512,-0.132299,-9.82236,0.00296246,-0.00820635,-0.00370449,-0.190314,-0.151355,0.50275,1010.01,19
353492172209,10249,124,-1.41547,1.33224,-0.191951,-0.000398962,0.00172685,-0.000190549,-0.00809092,0.0105477,0.00289314,0.0130644,-0.0214706,2.46293,-0.19815,-0.128042,-9.84923,0.00137059,-0.00831364,-0.0035454,-0.191264,-0.151018,0.500704,1010.03,19
353502565670,10395,124,-1.41551,1.33224,-0.191931,-0.00170898,-0.000273914,0.00103834,-0.00920149,0.0108243,0.00260787,0.0130634,-0.02147,2.46293,-0.224137,-0.128656,-9.80925,0.00159931,-0.00938139,-0.00312978,-0.18909,-0.148881,0.50345,1010.03,19
353511913901,9346,118,-1.41551,1.33224,-0.191931,-0.00170898,-0.000273914,0.00103834,-0.00920149,0.0108243,0.00260787,0.0130575,-0.021473,2.46295,-0.224137,-0.128656,-9.80925,0.00159931,-0.00938139,-0.00312978,-0.18909,-0.148881,0.50345,1010.03,19
353522061978,10150,122,-1.41553,1.33226,-0.191965,-0.00142912,0.00114925,-0.00174099,-0.00901637,0.0105533,0.00294809,0.0130531,-0.021473,2.46296,-0.235411,-0.117941,-9.79221,0.000878083,-0.00896181,-0.00236257,-0.191481,-0.148943,0.501369,1010.05,19
353531908670,9850,116,-1.41553,1.33226,-0.191965,-0.00142912,0.00114925,-0.00174099,-0.00901637,0.0105533,0.00294809,0.0130504,-0.0214733,2.46297,-0.211046,-0.117451,-9.85013,0.00275144,-0.00831276,-0.00369825,-0.190353,-0.150965,0.503955,1010.05,19
353541941517,10011,138,-1.41553,1.33224,-0.191953,0.00034537,-0.000928925,0.00061184,-0.00907208,0.0106969,0.00297143,0.0130492,-0.0214785,2.46298,-0.222334,-0.130664,-9.78801,0.00167638,-0.00831012,-0.00398251,-0.190047,-0.150482,0.503549,1010.03,19
353552134132,10181,153,-1.41553,1.33224,-0.191953,0.00034537,-0.000928925,0.00061184,-0.00907208,0.0106969,0.00297143,0.0130489,-0.021478,2.46298,-0.23451,-0.146779,-9.8303,0.00193173,-0.00810691,-0.00292433,-0.192147,-0.149916,0.502984,1010.03,19
353561938517,9820,135,-1.4155,1.33225,-0.191929,0.0013398,0.000232231,0.00121847,-0.00891549,0.0106842,0.00262281,0.0130477,-0.0214814,2.463,-0.221143,-0.139056,-9.81634,0.00119003,-0.00853459,-0.00258254,-0.189702,-0.148968,0.50427,1010.03,19
353571917209,9988,128,-1.4155,1.33225,-0.191929,0.0013398,0.000232231,0.00121847,-0.00891549,0.0106842,0.00262281,0.0130453,-0.0214848,2.46301,-0.221143,-0.139056,-9.81634,0.00119003,-0.00853459,-0.00258254,-0.189702,-0.148968,0.50427,1010.03,19
353582121901,10215,118,-1.41542,1.3322,-0.191936,0.00393602,-0.00260814,-0.000335693,-0.00800217,0.0105359,0.004461,0.0130449,-0.0214926,2.46301,-0.231239,-0.108816,-9.82334,0.00349119,-0.00789307,-0.00371975,-0.189586,-0.150157,0.502976,1010.03,19
353591899670,9779,112,-1.41542,1.3322,-0.191936,0.00393602,-0.00260814,-0.000335693,-0.00800217,0.0105359,0.004461,0.0130528,-0.0214975,2.46302,-0.217785,-0.126729,-9.80165,0.00253715,-0.00916411,-0.00369804,-0.192304,-0.148397,0.503082,1010.07,19
353601929132,10018,123,-1.41555,1.33224,-0.191923,-0.00622856,0.00234613,0.000605141,-0.00945633,0.0112688,0.00118936,0.0130559,-0.0214987,2.46303,-0.212965,-0.153614,-9.82171,0.00232452,-0.00788722,-0.00368034,-0.190315,-0.148254,0.505097,1010.07,19
353612236440,10320,114,-1.41555,1.33224,-0.191923,-0.00622856,0.00234613,0.000605141,-0.00945633,0.0112688,0.00118936,0.0130629,-0.021498,2.46303,-0.226609,-0.125847,-9.83092,0.00210214,-0.0092662,-0.00400208,-0.19208,-0.148873,0.50259,1010.08,19
353622294055,10045,129,-1.41551,1.33224,-0.191937,0.00163157,-0.000321551,-0.000674364,-0.00885865,0.0110007,0.00201881,0.0130655,-0.0214981,2.46305,-0.226609,-0.125847,-9.83092,0.00210214,-0.0092662,-0.00400208,-0.19208,-0.148873,0.50259,1010.08,19
353631903824,9618,118,-1.41551,1.33224,-0.191937,0.00163157,-0.000321551,-0.000674364,-0.00885865,0.0110007,0.00201881,0.0130595,-0.0215029,2.46306,-0.219205,-0.114044,-9.83724,0.00114097,-0.00831013,-0.00396415,-0.190342,-0.146308,0.501912,1010.08,19
353641924209,10014,126,-1.41555,1.33219,-0.191937,-0.00188167,-0.00209604,-7.44331e-07,-0.0103265,0.0106533,0.00218256,0.0130462,-0.0215062,2.46308,-0.20356,-0.125112,-9.82693,0.00143143,-0.00885891,-0.00174217,-0.19151,-0.148076,0.502898,1010.07,19
353652268055,10361,110,-1.41555,1.33219,-0.191937,-0.00188167,-0.00209604,-7.44331e-07,-0.0103265,0.0106533,0.00218256,0.0130403,-0.0215096,2.46309,-0.209403,-0.122496,-9.78108,0.00127903,-0.00937866,-0.00345025,-0.189935,-0.14751,0.502129,1010.07,19
