ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.026320575,0.07475759,-0.3316002,0.13289674,-0.009268763,0.040255375,-0.23671353,-0.7677561,0.36621702,-0.0302195,-0.0256781,2.73564
-0.027154004,0.07347287,-0.33437896,0.13234805,-0.009456891,0.040024694,-0.23920858,-0.76088905,0.36686325,-0.0302213,-0.025675,2.73565
-0.02757072,0.07283051,-0.33576798,0.1320737,-0.009550955,0.03990935,-0.24045604,-0.75745547,0.3671863,-0.0302227,-0.0256758,2.73565
-0.026989704,0.074830204,-0.33339167,0.13194206,-0.009524184,0.04016218,-0.23774183,-0.7527559,0.36623895,-0.0302292,-0.0256811,2.73565
-0.026200006,0.073451295,-0.33877277,0.13242365,-0.009361244,0.040779635,-0.23789066,-0.774176,0.36806357,-0.0302298,-0.0256862,2.73565
-0.026664477,0.07156075,-0.3373263,0.13263592,-0.009127907,0.04028213,-0.23557621,-0.77703714,0.3723141,-0.0302258,-0.0256789,2.73565
-0.025923528,0.071452625,-0.3365581,0.1331854,-0.009325034,0.039973903,-0.23997962,-0.7709224,0.36744118,-0.0302227,-0.0256752,2.73565
-0.027668243,0.073326126,-0.34097576,0.13196169,-0.009236169,0.040012296,-0.23909998,-0.78181314,0.37074745,-0.0302113,-0.025673,2.73565
-0.028540604,0.07426287,-0.34318495,0.13134983,-0.009191737,0.040031493,-0.2386601,-0.7872585,0.37240052,-0.0302092,-0.025673,2.73565
-0.028444473,0.07610461,-0.3390603,0.13178076,-0.009393691,0.040015515,-0.23726195,-0.7824594,0.36720574,-0.0302104,-0.0256733,2.73565
-0.027965609,0.07622958,-0.3369627,0.13184524,-0.009273788,0.04163321,-0.23838836,-0.78647065,0.3637724,-0.0302195,-0.0256765,2.73564
-0.027362505,0.0756702,-0.33112288,0.13235734,-0.009434092,0.040808573,-0.23859328,-0.7826377,0.36734736,-0.0302191,-0.0256719,2.73564
-0.026237566,0.07642703,-0.33244395,0.13172962,-0.009289052,0.039614163,-0.23847616,-0.7806841,0.36705196,-0.0302155,-0.0256704,2.73565
-0.025675096,0.07680544,-0.33310437,0.13141575,-0.009216532,0.039016955,-0.23841769,-0.77970743,0.36690438,-0.0302151,-0.0256687,2.73564
-0.02590889,0.07391724,-0.3355875,0.1321389,-0.009431197,0.03959621,-0.23708904,-0.7732953,0.3672328,-0.0302119,-0.0256724,2.73564
-0.026025787,0.07247313,-0.33682895,0.13250045,-0.009538529,0.03988584,-0.23642474,-0.77008915,0.36739695,-0.0302108,-0.0256739,2.73565
-0.025672693,0.07163986,-0.3390212,0.13113764,-0.009444146,0.041090723,-0.23591179,-0.77150106,0.37021685,-0.0302182,-0.0256729,2.73566
-0.02583132,0.07116446,-0.33888483,0.13117796,-0.009420846,0.041368827,-0.23565531,-0.772207,0.37162673,-0.0302235,-0.0256701,2.73565
-0.02675232,0.07228945,-0.32742882,0.13145797,-0.009506793,0.03997695,-0.23540604,-0.7661253,0.37188923,-0.0302254,-0.0256712,2.73566
-0.027353978,0.072362795,-0.33162475,0.1311084,-0.009652162,0.040308606,-0.2368697,-0.7803502,0.3699808,-0.0302239,-0.0256779,2.73565
-0.027654808,0.07239947,-0.33372283,0.13093361,-0.009724847,0.04047443,-0.23760152,-0.7874627,0.36902654,-0.0302248,-0.0256831,2.73565
-0.02805371,0.07349105,-0.3289435,0.13080716,-0.009484821,0.03945345,-0.23680365,-0.7738389,0.3754444,-0.0302336,-0.0256899,2.73565
-0.027628584,0.073342904,-0.3382609,0.13266757,-0.00924012,0.03939229,-0.23582846,-0.7635009,0.3749529,-0.0302334,-0.0256887,2.73564
-0.027416024,0.07326884,-0.34291935,0.13359779,-0.009117769,0.039361708,-0.2353409,-0.758332,0.37470734,-0.0302253,-0.025684,2.73564
-0.027846128,0.07032577,-0.33341694,0.13323373,-0.009009159,0.039876774,-0.23555708,-0.78781545,0.37080967,-0.0302157,-0.0256798,2.73563
-0.028061183,0.068854235,-0.32866573,0.13305171,-0.008954854,0.040134307,-0.23566526,-0.80255723,0.36886084,-0.0302157,-0.0256798,2.73563
-0.02705394,0.06813124,-0.3365972,0.13296036,-0.009300559,0.040253773,-0.23557562,-0.7990643,0.3686074,-0.0302256,-0.0256805,2.73562
-0.026476411,0.06908556,-0.33264804,0.13378501,-0.009225373,0.040798828,-0.23843461,-0.79379666,0.36522007,-0.0302147,-0.0256789,2.73562
-0.025748866,0.07147158,-0.3339634,0.13300611,-0.009186343,0.040402975,-0.23796588,-0.77493453,0.368304,-0.0302096,-0.0256758,2.73563
-0.028967563,0.07080855,-0.3378415,0.13365914,-0.009191678,0.03986715,-0.23583496,-0.78079176,0.36760497,-0.0302032,-0.025669,2.73563
-0.026459076,0.073352635,-0.33883643,0.13409743,-0.0092939045,0.039592315,-0.23425615,-0.7853216,0.373886,-0.0302,-0.02567,2.73562
-0.02520483,0.07462467,-0.33933377,0.13431656,-0.009345018,0.0394549,-0.2334668,-0.78758645,0.37702656,-0.0301912,-0.0256684,2.73561
-0.025808979,0.07735125,-0.33404398,0.13359293,-0.009371109,0.039918102,-0.23536092,-0.76045084,0.37378478,-0.0301865,-0.0256674,2.73562
-0.026431289,0.07520131,-0.3319149,0.13239126,-0.009335831,0.040375713,-0.2345599,-0.782424,0.36893213,-0.0301868,-0.0256635,2.73562
-0.026742445,0.07412634,-0.3308506,0.13179043,-0.0093181925,0.04060452,-0.23415941,-0.79341054,0.36650574,-0.0301874,-0.0256606,2.73562
-0.02788519,0.07027203,-0.32992935,0.1324501,-0.009109216,0.04090929,-0.23531175,-0.7831458,0.3688835,-0.0301878,-0.0256581,2.73562
-0.028456558,0.06834487,-0.32946873,0.13277994,-0.009004728,0.041061673,-0.23588794,-0.7780132,0.37007248,-0.0301828,-0.0256545,2.73562
-0.026929773,0.070562236,-0.32911015,0.13302213,-0.009200147,0.040313076,-0.23625672,-0.79811335,0.36644685,-0.030181,-0.0256566,2.73561
-0.026268546,0.072478876,-0.33650374,0.13312918,-0.009222632,0.03943865,-0.23600698,-0.78410363,0.37389886,-0.0301799,-0.0256559,2.73561
