# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
147877593356,9995,142,0.0038539,-0.0202731,-0.199307,0,0,0,-0.00260177,0.00277294,-0.0220497,-0.0211317,-0.0301855,2.87482,-0.307874,0.212191,-9.68076,0.00247675,-0.00960469,-0.0023202,-0.180152,-0.0620029,0.455196,1005.54,32
147887852433,10275,128,0.00375171,-0.0201918,-0.199122,-0.00523224,0.00416336,0.00948334,-0.00435898,0.00375563,-0.0239162,-0.0211351,-0.0301883,2.87482,-0.322112,0.218319,-9.66138,0.00140266,-0.0091718,-0.00259497,-0.179177,-0.0612671,0.453248,1005.54,32
147897895817,10034,138,0.00375171,-0.0201918,-0.199122,-0.00523224,0.00416336,0.00948334,-0.00435898,0.00375563,-0.0239162,-0.0211439,-0.0301845,2.87483,-0.290488,0.217718,-9.67864,0.00239892,-0.00956784,-0.0020107,-0.180365,-0.0624895,0.455999,1005.46,32
147907614279,9697,145,0.00368038,-0.0201492,-0.199008,-0.00347805,0.00207883,0.00558835,-0.00392714,0.00488559,-0.0232786,-0.0211522,-0.0301776,2.87482,-0.290488,0.217718,-9.67864,0.00239892,-0.00956784,-0.0020107,-0.180365,-0.0624895,0.455999,1005.46,32
147917665664,10083,128,0.00368038,-0.0201492,-0.199008,-0.00347805,0.00207883,0.00558835,-0.00392714,0.00488559,-0.0232786,-0.0211549,-0.0301752,2.87482,-0.304407,0.210753,-9.66608,0.00153991,-0.00885565,-0.00173818,-0.178438,-0.0647314,0.456156,1005.46,32
147927852433,10192,124,0.00360798,-0.0200723,-0.19906,-0.00370688,0.00393848,-0.00270233,-0.00385504,0.00390533,-0.0235541,-0.0211642,-0.030167,2.87483,-0.300297,0.230254,-9.68964,0.00149914,-0.00927992,-0.00281927,-0.180295,-0.0617668,0.455683,1005.49,32
147938052279,10187,136,0.00360798,-0.0200723,-0.19906,-0.00370688,0.00393848,-0.00270233,-0.00385504,0.00390533,-0.0235541,-0.0211659,-0.0301659,2.87483,-0.302637,0.192734,-9.66453,0.00218175,-0.00939541,-0.00144788,-0.18024,-0.0629609,0.454951,1005.49,32
147947628817,9548,148,0.00362655,-0.0202793,-0.198758,0.000905446,-0.0100949,0.0147284,-0.00751873,0.00355705,-0.0245817,-0.0211664,-0.030164,2.87483,-0.302637,0.192734,-9.66453,0.00218175,-0.00939541,-0.00144788,-0.18024,-0.0629609,0.454951,1005.49,32
147957779587,10180,135,0.00362655,-0.0202793,-0.198758,0.000905446,-0.0100949,0.0147284,-0.00751873,0.00355705,-0.0245817,-0.0211646,-0.0301631,2.87484,-0.312826,0.217765,-9.67517,0.00250209,-0.0093945,-0.00156904,-0.182732,-0.0625576,0.454638,1005.49,32
147967761741,9989,128,0.00361333,-0.0200144,-0.198887,-0.000676751,0.0135611,-0.00659866,-0.00471405,0.00459599,-0.0228065,-0.021163,-0.0301587,2.87484,-0.302012,0.19538,-9.72456,0.00172092,-0.0101303,-0.00261362,-0.179699,-0.0638362,0.454365,1005.49,32
