# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
62289204955,10100,133,-1.71859,0.0180262,-0.427404,0.000860305,-0.00173033,0.000435965,-0.0477704,0.0081409,0.0359737,-0.0312757,-0.0268859,2.82301,-0.280402,0.300184,-9.75002,0.00168692,-0.00482664,-0.000438991,-0.166751,-0.0737111,0.477541,1011.48,26
62299141340,9910,146,-1.7186,0.0180361,-0.427453,-0.000244141,0.000505066,-0.00254364,-0.0474504,0.0066595,0.0357766,-0.0312729,-0.0268885,2.82299,-0.280402,0.300184,-9.75002,0.00168692,-0.00482664,-0.000438991,-0.166751,-0.0737111,0.477541,1011.48,26
62309096340,9983,128,-1.7186,0.0180361,-0.427453,-0.000244141,0.000505066,-0.00254364,-0.0474504,0.0066595,0.0357766,-0.0312729,-0.0268885,2.82299,-0.280402,0.300184,-9.75002,0.00168692,-0.00482664,-0.000438991,-0.166751,-0.0737111,0.477541,1011.48,26
62319070801,9988,115,-1.71861,0.0180348,-0.42744,-0.000418527,-5.99452e-05,0.000653948,-0.0462593,0.00738754,0.0365534,-0.0312656,-0.026879,2.82298,-0.272906,0.323579,-9.71997,0.000820374,-0.00450162,-0.000830092,-0.16546,-0.0725138,0.477827,1011.51,26
62329240032,10171,116,-1.71861,0.0180348,-0.42744,-0.000418527,-5.99452e-05,0.000653948,-0.0462593,0.00738754,0.0365534,-0.0312736,-0.0268796,2.82299,-0.275585,0.273415,-9.69993,0.000648106,-0.00515267,0.000337545,-0.166787,-0.0736417,0.478823,1011.51,26
62339346494,10110,112,-1.71874,0.0185195,-0.42714,-0.006604,0.0248167,0.0153564,-0.0554525,0.00892963,0.0341355,-0.0312785,-0.0268815,2.82299,-0.26135,0.291685,-9.73125,0.000843063,-0.00546395,-0.00041578,-0.165485,-0.0735478,0.477099,1011.45,26
62349700571,10353,114,-1.71874,0.0185195,-0.42714,-0.006604,0.0248167,0.0153564,-0.0554525,0.00892963,0.0341355,-0.0312787,-0.0268843,2.82299,-0.270803,0.293599,-9.74139,0.000953851,-0.00461899,-0.000199578,-0.166927,-0.0758671,0.477049,1011.45,26
62359061955,9366,111,-1.71858,0.018077,-0.427446,0.00762649,-0.0215808,-0.0149318,-0.0456062,0.00766503,0.0366884,-0.0312764,-0.0268854,2.82299,-0.270803,0.293599,-9.74139,0.000953851,-0.00461899,-0.000199578,-0.166927,-0.0758671,0.477049,1011.45,26
62369093571,10012,122,-1.71858,0.018077,-0.427446,0.00762649,-0.0215808,-0.0149318,-0.0456062,0.00766503,0.0366884,-0.0312758,-0.0268848,2.82297,-0.265981,0.316227,-9.74825,0.00204203,-0.00515531,0.000611179,-0.165047,-0.0777778,0.475849,1011.49,26
62379544571,10465,115,-1.71861,0.0180185,-0.427463,-0.00158081,-0.00299053,-0.000862122,-0.0476855,0.00782991,0.0365852,-0.0312693,-0.0268786,2.82297,-0.252966,0.333197,-9.7546,0.00254319,-0.00408327,-0.000350735,-0.165511,-0.075641,0.478684,1011.49,26
62389087109,9530,122,-1.71861,0.0180185,-0.427463,-0.00158081,-0.00299053,-0.000862122,-0.0476855,0.00782991,0.0365852,-0.0312722,-0.0268787,2.82297,-0.274437,0.317728,-9.78634,0.000400919,-0.0062081,-0.000724969,-0.165703,-0.0776138,0.475392,1011.49,26
62399644032,10551,132,-1.71874,0.0185013,-0.427169,-0.00614421,0.0235419,0.0143607,-0.0578089,0.00974287,0.03559,-0.0312761,-0.0268828,2.82298,-0.281316,0.326392,-9.77015,0.000944967,-0.00461852,-0.000305091,-0.166534,-0.072605,0.479224,1011.49,26
62409287417,9652,127,-1.71874,0.0185013,-0.427169,-0.00614421,0.0235419,0.0143607,-0.0578089,0.00974287,0.03559,-0.0312817,-0.026883,2.82297,-0.273721,0.305342,-9.76423,0.000511271,-0.00482352,-0.000614142,-0.165989,-0.0766016,0.478772,1011.47,26
62419070186,9790,116,-1.71858,0.0180278,-0.427435,0.00778198,-0.0242435,-0.0136414,-0.0465345,0.00644214,0.0371113,-0.0312863,-0.0268802,2.82295,-0.268146,0.29598,-9.73483,0.000521686,-0.00514742,-0.00029603,-0.165352,-0.0754612,0.476278,1011.47,26
62429090186,10012,125,-1.71858,0.0180278,-0.427435,0.00778198,-0.0242435,-0.0136414,-0.0465345,0.00644214,0.0371113,-0.0312867,-0.0268804,2.82295,-0.268146,0.29598,-9.73483,0.000521686,-0.00514742,-0.00029603,-0.165352,-0.0754612,0.476278,1011.47,26
62439072109,9985,121,-1.71859,0.01803,-0.427428,-0.000127883,0.000106085,0.000324068,-0.0461458,0.00711478,0.0365382,-0.0312929,-0.0268855,2.82296,-0.259943,0.301434,-9.76121,0.00166404,-0.00514218,-0.00097035,-0.166613,-0.0728861,0.474501,1011.47,26
62449201647,10125,126,-1.71859,0.01803,-0.427428,-0.000127883,0.000106085,0.000324068,-0.0461458,0.00711478,0.0365382,-0.0312973,-0.0268902,2.82297,-0.2663,0.307662,-9.72962,0.00146467,-0.00514388,-0.000756632,-0.167475,-0.0714699,0.477424,1011.47,26
