# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
2640166344804,9977,116,-0.0472905,-1.87434,-0.235353,0,0,0,-0.0486517,-0.00184061,0.0507437,-0.0151365,-0.0224704,2.63815,-0.208961,0.147193,-9.75181,-0.000295457,-0.00174865,0.000718139,-0.13435,-0.0865145,0.379724,1011.26,14
2640176517881,10173,115,-0.0472905,-1.87434,-0.235353,0,0,0,-0.0486517,-0.00184061,0.0507437,-0.015135,-0.0224685,2.63818,-0.206896,0.128683,-9.71271,0.000127987,-0.00111328,0.000709095,-0.13237,-0.08371,0.37912,1011.26,14
2640186892727,10366,124,-0.0471253,-1.87425,-0.235367,0.00846081,0.0041626,-0.000734711,-0.0475876,-0.00413445,0.0544703,-0.0151356,-0.0224654,2.63818,-0.225222,0.159563,-9.73811,0.000448696,-0.00196276,0.000691267,-0.13601,-0.0835593,0.380365,1011.26,14
2640196272727,9343,141,-0.0471253,-1.87425,-0.235367,0.00846081,0.0041626,-0.000734711,-0.0475876,-0.00413445,0.0544703,-0.015134,-0.0224602,2.63821,-0.225222,0.159563,-9.73811,0.000448696,-0.00196276,0.000691267,-0.13601,-0.0835593,0.380365,1011.26,14
2640206218727,9977,127,-0.0470695,-1.87449,-0.235551,0.00285606,-0.0123047,-0.00941467,-0.0562763,-0.00965601,0.0568221,-0.0151349,-0.0224625,2.63823,-0.204416,0.15517,-9.7038,-0.00037319,-0.00144288,0.00157501,-0.133225,-0.082996,0.379875,1011.2,14
2640216239034,10033,118,-0.0470695,-1.87449,-0.235551,0.00285606,-0.0123047,-0.00941467,-0.0562763,-0.00965601,0.0568221,-0.0151483,-0.0224593,2.63825,-0.217883,0.167179,-9.73357,0.000474063,-0.00111799,0.00144321,-0.132666,-0.0873958,0.37982,1011.2,14
2640226221881,9969,130,-0.0470343,-1.87428,-0.235393,0.0016372,0.00985995,0.00737832,-0.0490601,-0.00195382,0.0547415,-0.0151494,-0.0224591,2.63825,-0.221123,0.140621,-9.75132,-0.000271121,-0.0019672,0.0012534,-0.132146,-0.084986,0.378621,1011.2,14
2640236815804,10608,116,-0.0470343,-1.87428,-0.235393,0.0016372,0.00985995,0.00737832,-0.0490601,-0.00195382,0.0547415,-0.0151528,-0.0224598,2.63827,-0.215996,0.153375,-9.74299,0.000100773,-0.00132229,-3.30731e-05,-0.134535,-0.0835678,0.381355,1011.23,14
2640246201650,9386,115,-0.0470343,-1.87428,-0.235393,0.0016372,0.00985995,0.00737832,-0.0490601,-0.00195382,0.0547415,-0.0151597,-0.0224575,2.63829,-0.214411,0.142541,-9.73719,0.000423407,-0.00280798,-5.83914e-05,-0.134535,-0.0835678,0.381355,1011.23,14
2640256573958,10354,136,-0.0471972,-1.87448,-0.235658,-0.00834007,-0.0101868,-0.0135941,-0.0551259,-0.0113762,0.0581362,-0.0151583,-0.0224594,2.63831,-0.214411,0.142541,-9.73719,0.000423407,-0.00280798,-5.83914e-05,-0.134535,-0.0835678,0.381355,1011.23,14
