# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
363199906432,9942,153,-1.66431,-0.0194257,-0.427388,0,0,0,-0.0562732,0.00327602,0.558352,-0.0312786,-0.0268158,-2.85574,-0.238711,0.197018,-9.78971,-0.00275114,-0.004173,-0.0154101,-0.174122,0.0485564,0.474956,1011.41,14
363209851278,9979,131,-1.66431,-0.0194257,-0.427388,0,0,0,-0.0562732,0.00327602,0.558352,-0.0312733,-0.0267869,-2.85619,-0.207264,0.425439,-9.8275,-0.0012793,-0.00246691,-0.0157615,-0.174082,0.0467865,0.476141,1011.41,14
363220186509,10317,147,-1.66429,-0.0194735,-0.427364,0.00113525,-0.00244532,0.00119324,-0.0511351,0.00467117,0.558036,-0.0312733,-0.0267869,-2.85619,-0.207264,0.425439,-9.8275,-0.0012793,-0.00246691,-0.0157615,-0.174082,0.0467865,0.476141,1011.41,14
363229955355,9790,129,-1.66429,-0.0194735,-0.427364,0.00113525,-0.00244532,0.00119324,-0.0511351,0.00467117,0.558036,-0.0313064,-0.0267829,-2.85609,-0.319737,0.227545,-9.67753,0.00211858,-0.00653345,0.025089,-0.1722,0.047656,0.477365,1011.41,14
363239892048,9910,151,-1.66428,-0.0195523,-0.427291,0.000249953,-0.00384358,0.00359235,-0.052683,0.00585169,0.557277,-0.0313107,-0.0267838,-2.85599,-0.319737,0.227545,-9.67753,0.00211858,-0.00653345,0.025089,-0.1722,0.047656,0.477365,1011.41,14
363250433125,10572,124,-1.66428,-0.0195523,-0.427291,0.000249953,-0.00384358,0.00359235,-0.052683,0.00585169,0.557277,-0.0313129,-0.0267868,-2.85555,-0.277267,0.196046,-9.80077,0.000748062,-0.00142838,5.25174e-05,-0.173085,0.0470973,0.47723,1011.38,14
363259964202,9533,123,-1.66426,-0.0196762,-0.427295,0.00105591,-0.00634556,-0.000236511,-0.0519704,0.00505099,0.557941,-0.0313027,-0.0267887,-2.85544,-0.228999,0.282305,-9.64427,0.00127912,-0.00515161,-0.0125656,-0.174079,0.0463059,0.476217,1011.4,14
363269885048,9887,144,-1.66426,-0.0196762,-0.427295,0.00105591,-0.00634556,-0.000236511,-0.0519704,0.00505099,0.557941,-0.031289,-0.0267818,-2.85545,-0.228999,0.282305,-9.64427,0.00127912,-0.00515161,-0.0125656,-0.174079,0.0463059,0.476217,1011.4,14
363279862355,9994,135,-1.66437,-0.0193956,-0.426706,-0.00503395,0.0136853,0.028733,-0.0357659,0.00276757,0.55911,-0.0312772,-0.0267776,-2.8557,-0.272188,0.340034,-9.69049,0.00175253,-0.00104123,-0.0206423,-0.173255,0.0472599,0.476917,1011.4,14
363289892278,10002,149,-1.66437,-0.0193956,-0.426706,-0.00503395,0.0136853,0.028733,-0.0357659,0.00276757,0.55911,-0.0312781,-0.0267782,-2.85576,-0.245761,0.3305,-9.78606,-0.00123245,-0.00249176,-0.0142758,-0.172539,0.0464606,0.476806,1011.38,14
363299863509,10000,136,-1.66437,-0.0193956,-0.426706,-0.00503395,0.0136853,0.028733,-0.0357659,0.00276757,0.55911,-0.0312947,-0.0267765,-2.85589,-0.273859,0.324362,-9.79457,-0.0020018,-0.00590741,0.00131098,-0.172495,0.04773,0.478096,1011.38,14
363309862201,9995,138,-1.66414,-0.0195395,-0.427034,0.0116821,-0.00736609,-0.0167953,-0.0449496,0.00268405,0.556566,-0.0313008,-0.0267763,-2.85587,-0.332892,0.30203,-9.67751,0.0029068,-0.00397699,0.0134728,-0.171134,0.0443695,0.478102,1011.38,14
363319983509,10130,134,-1.66433,-0.0195111,-0.427261,-0.00925991,0.00138174,-0.0110648,-0.0529422,0.005156,0.557232,-0.0313117,-0.0267648,-2.85563,-0.269066,0.274906,-9.68311,0.000659519,-0.00307709,0.0196321,-0.175236,0.049195,0.475159,1011.38,14
363329904278,9884,157,-1.66433,-0.0195111,-0.427261,-0.00925991,0.00138174,-0.0110648,-0.0529422,0.005156,0.557232,-0.0313167,-0.0267605,-2.85555,-0.269066,0.274906,-9.68311,0.000659519,-0.00307709,0.0196321,-0.175236,0.049195,0.475159,1011.38,14
363339858125,9986,137,-1.66446,-0.01946,-0.426812,-0.00670166,0.00261621,0.0229965,-0.0337511,0.00292794,0.559135,-0.0313218,-0.0267531,-2.85531,-0.257232,0.295551,-9.83059,0.000502797,-0.00195242,0.0118824,-0.172584,0.0444521,0.477832,1011.38,14
363349872740,10000,140,-1.66446,-0.01946,-0.426812,-0.00670166,0.00261621,0.0229965,-0.0337511,0.00292794,0.559135,-0.0313048,-0.0267533,-2.85522,-0.267944,0.261063,-9.71133,0.00261725,-0.00630658,-0.00131212,-0.172499,0.0470305,0.475609,1011.42,14
363359881586,10012,141,-1.66417,-0.0195516,-0.426948,0.014195,-0.00446456,-0.00662958,-0.0447994,0.00608775,0.557564,-0.0312874,-0.0267564,-2.85533,-0.295726,0.264724,-9.70668,0.0015673,-0.00149779,-0.0164788,-0.170372,0.0466986,0.476975,1011.42,14
363370023125,10146,145,-1.66417,-0.0195516,-0.426948,0.014195,-0.00446456,-0.00662958,-0.0447994,0.00608775,0.557564,-0.0312835,-0.0267616,-2.85548,-0.295726,0.264724,-9.70668,0.0015673,-0.00149779,-0.0164788,-0.170372,0.0466986,0.476975,1011.42,14
363379935971,9925,133,-1.66406,-0.019743,-0.427504,0.00550537,-0.00979862,-0.0284561,-0.0569536,0.00302929,0.558029,-0.0312864,-0.0267612,-2.85561,-0.263399,0.332712,-9.77916,0.000112903,-0.00542804,-0.00626356,-0.172565,0.0462074,0.478406,1011.43,14
