# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
494302192493,9853,140,-1.38267,1.29504,-0.19313,0,0,0,-0.0176081,0.012086,0.205074,0.00677534,-0.0174837,2.76391,-0.161229,-0.0544854,-9.81968,-0.000149232,-0.00747963,-0.0014638,-0.214968,-0.0994672,0.498006,1010.12,19
494312463570,10296,131,-1.38267,1.29504,-0.19313,0,0,0,-0.0176081,0.012086,0.205074,0.00675774,-0.0174928,2.76393,-0.150936,-0.0647222,-9.85527,0.000340136,-0.00524002,-0.00252669,-0.215152,-0.101161,0.49968,1010.12,19
494322424416,9957,132,-1.38267,1.29501,-0.193079,4.16825e-05,-0.00128025,0.00254115,-0.0170956,0.0111376,0.205356,0.00674807,-0.0174878,2.76395,-0.151404,-0.0677129,-9.81799,-0.000669515,-0.00568211,-0.000891176,-0.214891,-0.0999466,0.49792,1010.07,19
494332530416,10117,121,-1.38267,1.29501,-0.193079,4.16825e-05,-0.00128025,0.00254115,-0.0170956,0.0111376,0.205356,0.0067379,-0.017486,2.76398,-0.173832,-0.0552558,-9.84612,0.00133234,-0.00641653,-0.00150501,-0.216916,-0.10124,0.499578,1010.07,19
494342170570,9625,138,-1.38263,1.29497,-0.193093,0.00201267,-0.0021139,-0.000680319,-0.0175899,0.0118466,0.205923,0.00673586,-0.0174909,2.76399,-0.173832,-0.0552558,-9.84612,0.00133234,-0.00641653,-0.00150501,-0.216916,-0.10124,0.499578,1010.07,19
494352245954,10084,126,-1.38263,1.29497,-0.193093,0.00201267,-0.0021139,-0.000680319,-0.0175899,0.0118466,0.205923,0.00674771,-0.0174933,2.76401,-0.153699,-0.0709077,-9.83749,0.00178381,-0.00525085,-0.000765754,-0.212722,-0.102749,0.498144,1010.05,19
494362738724,10484,134,-1.38265,1.29495,-0.193037,-0.000702649,-0.000833651,0.00278008,-0.0186404,0.0119285,0.205493,0.00675413,-0.0174925,2.76403,-0.17503,-0.0702786,-9.82485,0.00147522,-0.00631711,-0.000444147,-0.209312,-0.0983618,0.499586,1010.05,19
494372253570,9467,158,-1.38265,1.29495,-0.193037,-0.000702649,-0.000833651,0.00278008,-0.0186404,0.0119285,0.205493,0.00676561,-0.0174967,2.76406,-0.17503,-0.0702786,-9.82485,0.00147522,-0.00631711,-0.000444147,-0.209312,-0.0983618,0.499586,1010.05,19
494382171339,9966,133,-1.38267,1.295,-0.193081,-0.00110756,0.002495,-0.0021794,-0.017321,0.0110591,0.205508,0.0067716,-0.017499,2.76408,-0.16699,-0.0608043,-9.81935,0.00144676,-0.00620375,-0.00128775,-0.217364,-0.100908,0.498155,1010.05,19
494392176339,10016,127,-1.38267,1.295,-0.193081,-0.00110756,0.002495,-0.0021794,-0.017321,0.0110591,0.205508,0.00677578,-0.017506,2.7641,-0.16436,-0.0551369,-9.84081,0.00218201,-0.00610169,-0.00142991,-0.213988,-0.101552,0.498596,1010.05,19
494402464723,10272,140,-1.38265,1.29493,-0.193063,0.000666921,-0.00343583,0.000864913,-0.017398,0.0130917,0.205693,0.00677743,-0.0175118,2.76412,-0.16436,-0.0551369,-9.84081,0.00218201,-0.00610169,-0.00142991,-0.213988,-0.101552,0.498596,1010.05,19
494412224570,9736,148,-1.38265,1.29493,-0.193063,0.000666921,-0.00343583,0.000864913,-0.017398,0.0130917,0.205693,0.00677911,-0.0175194,2.76416,-0.149443,-0.0628954,-9.81173,0.00147525,-0.00621072,-0.00044327,-0.213496,-0.0994751,0.498917,1010.05,19
494422477877,10293,126,-1.38271,1.295,-0.193089,-0.00263196,0.00310833,-0.00130556,-0.0169916,0.0120345,0.205017,0.00678283,-0.0175247,2.76419,-0.14865,-0.0486347,-9.80461,0.00145731,-0.00620633,-0.000975059,-0.21392,-0.0985892,0.498218,1010.05,19
494432231493,9717,147,-1.38271,1.295,-0.193089,-0.00263196,0.00310833,-0.00130556,-0.0169916,0.0120345,0.205017,0.00677929,-0.017531,2.76422,-0.157252,-0.0559407,-9.83582,0.000921416,-0.00610115,-0.000951854,-0.213888,-0.100357,0.499163,1010.12,19
494442347800,10143,133,-1.38271,1.29504,-0.193112,-0.00034537,0.00215558,-0.00112394,-0.0164942,0.0116903,0.204586,0.00677254,-0.017533,2.76424,-0.139759,-0.0453864,-9.85646,0.000193708,-0.00514477,-0.000605679,-0.215096,-0.101315,0.498956,1010.12,19
494452237647,9905,122,-1.38271,1.29504,-0.193112,-0.00034537,0.00215558,-0.00112394,-0.0164942,0.0116903,0.204586,0.00676259,-0.0175295,2.76427,-0.131766,-0.012907,-9.84727,0.00133511,-0.00609498,-0.00139894,-0.213297,-0.0990653,0.497713,1010.14,19
494462181339,9921,143,-1.38273,1.29501,-0.193097,-0.000842285,-0.0013855,0.000775909,-0.017406,0.0107898,0.204832,0.00675398,-0.0175263,2.76428,-0.131766,-0.012907,-9.84727,0.00133511,-0.00609498,-0.00139894,-0.213297,-0.0990653,0.497713,1010.14,19
494472218108,10025,152,-1.38273,1.29501,-0.193097,-0.000842285,-0.0013855,0.000775909,-0.017406,0.0107898,0.204832,0.00675398,-0.0175263,2.76428,-0.150714,-0.0570103,-9.84077,0.00243273,-0.00578202,-0.000472034,-0.214854,-0.104116,0.499005,1010.14,19
494482191570,9974,143,-1.38265,1.29501,-0.193053,0.00385861,-0.000142912,0.00220248,-0.0181189,0.0118794,0.20516,0.00675286,-0.0175282,2.76435,-0.171705,-0.0569827,-9.83846,0.00200922,-0.00568509,-0.000456947,-0.214431,-0.0978011,0.499683,1010.14,19
494492522877,10350,136,-1.38265,1.29501,-0.193053,0.00385861,-0.000142912,0.00220248,-0.0181189,0.0118794,0.20516,0.00675238,-0.0175288,2.76437,-0.15672,-0.0654256,-9.8352,0.000343601,-0.00587321,-0.00242395,-0.212092,-0.0997866,0.497827,1010.14,19
494502223108,9713,121,-1.38265,1.29493,-0.193003,0.00034537,-0.00399557,0.00247192,-0.0183623,0.0127777,0.205957,0.0067492,-0.0175275,2.7644,-0.167106,-0.0601869,-9.83031,0.000906268,-0.00556608,-0.00148362,-0.213651,-0.0987565,0.499088,1010.14,19
